,SDGs 01,SDGs 02,SDGs 03,SDGs 04,SDGs 05,SDGs 06,SDGs 07,SDGs 08,SDGs 09,SDGs 10,SDGs 11,SDGs 12,SDGs 13,SDGs 14,SDGs 15,SDGs 16,SDGs 17
,alzheimer,access to loans,abuse of drugs,adult education,AIDS-prevention,affordable drinking tap water,agrofuel*,accessibility,Access to and use of the internet,aid organisation,air sample,blue flag programme,agriculture carbon dioxide emission,"Action Plan for the Protection, Management and Development of the Marine and Coastal Environment of the Northwest Pacific Region",afforestation* of* agricultural* land*,abusive behaviors,Agenda 2030
,ambulatory child*,access to local markets,access to abortion,adult* literacy* program*,AIDSprevention,affordable drinking water,Ahai Dam,active labour market policies,access to broadband,aid organisations,air samples,building certification,agriculture carbon dioxide emissions,adaptation capacity,afforestation* program*,abusive families,Agenda2030
,animal model*,access to market,access to care,Affordable education,alcohol*,affordable potable tap water,AI ion,added value,access to cellular network,aid organization,air temperature,building material,agriculture CO 2 emission,adaptation planning,afforestation* project*,abusive family,agreeable term
,anti-poverty,access to markets,access to essential medicine,Affordable higher education,alpine* willow*,affordable potable water,air based batteries,adolescent workers,access to cellular networks,aid organizations,allergic,building sector,agriculture CO 2 emissions,adaptation resilience,afforestation/reforestation,abusive man,agreement
,antipoverty,access to microfinance,access to essential medicines,Africa,Alzheimer,affordable water,air based battery,adventure tourism,access to communication technologies,aid relief,allotment* garden*,building*,agriculture CO2 emission,adaptive capacity,afforestations,abusive men,agreement*
,Asia,access to modern energy services,access to health service,Africa*,alzheimer,agricultural,air batteries,affirmative action,access to communication technology,aid to Africa,ancient paintings,buildings,agriculture CO2 emissions,adaptive management,afforested,abusive mother,agricultural
,Asian,access to natural resources,access to health services,african american,ambulatory child*,Agricultural Water Efficiency,air battery,Affirmative action,access to communications technologies,aid worker,ancient wall paintings,business and human rights,agriculture GHG emission,Adriatic Sea,Agelaius xanthomus,abusive mothers,agriculture
,assessing social vulnerability,access to pasture,access to health treatment,african americans,animal model*,Agricultural Water productivity,air condition,affirmative* action*,access to communications technology,aid workers,ancient* building*,capacity building,agriculture GHG emissions,Adriatic sturgeon,Agenda 21,abusive parent,aid
,asset poverty,access to resource,access to health treatments,african* american*,anti-women,agricultural water use efficiency,air condition*,affordable credit,access to computers,Albania,animal,capacity development,agriculture green gas emission,adverse* efect*,agents of deforestation,abusive parenting,Albania
,asset*-poor* famil*,access to resources,access to health-care,african* scholarship*,antiwomen,agriculture,air conditioning,Agenda 21,access to employment,Algeria,animal welfare,capacity strengthening,agriculture green gas emissions,adverse* effect*,agricultural,abusive parents,Algeria
,asset*-poor* household*,Access to rural sources of income,access to healthcare,alcohol*,antiwomen ,agriculture waste water,air turbine*,agribusiness loan,access to finance,alleviate poverty,animal*,carbon footprint,agriculture green house gas emission,Aegean Captain,agricultural expansion,abusive partner,alleviat*
,assetpoor* famil*,access to seed,access to medical care,alphabet knowledge,arranged* marriage*,agriculture waste waters,AIRCRAFT,agricultural credit,access to high-speed broadband,alleviating poverty,animals,carrying capacity,agriculture green house gas emissions,Aegean Sea,agriculture,abusive partners,alliance*
,assetpoor* household*,access to the land,access to medical service,alphabetisation,assault,agriculture wastewater,aircraft*,agricultural finance,access to high-speed internet,alleviation of poverty,anthropogenic heat,CBNRM,agriculture greenhouse gas emission,aerosol*,agro forest,abusive relationship,American Samoa
,asthma*,access to the market,access to medical services,alzheimer,asthma*,agriculture wastewaters,AIRCRAFTS,agricultural insurance,access to highspeed broadband,American Samoa,archaeolog*,cdm,agriculture greenhouse gas emissions,African manatee,agro forestry,abusive relationships,amplification
,auction,access to water,access to medical treatment,ambulatory child*,Atherosclerosis,agriculture water use efficiency,AIRPLANE,agricultural lending,access to highspeed internet,americans with disabilities act,archaeological artefact,cdm project,agriculture greenhousegas emission,air pollution,agroforest,access to a court,Angola
,basic service,access to water resources,access to medical treatments,animal model*,autonomous* women''s* support* project*,ambient water,airplane*,agricultural loans,access to ICT,Angola,archaeological artefacts,cdm projects,agriculture greenhousegas emissions,Albacore,agroforestry,access to courts,annihilat*
,biomass,access*,access to medicine,apprenticeship*,autonomy,ambient water quality,AIRPLANES,agricultural productivity,Access to information,Anguilla,archaeological artifact,cellulose,agro,Alboran Sea,aichi,access to government,anti
,Black economic empowerment,Access* land*,access to medicines,appropriateness,Barrier*,AMCOW,Alcator C-Mod,agricultural sustainability,access to information and communication,anti-discrimination,archaeological artifacts,chemical recycling,anthropogen*,alexandrium,aichi biodiversity,access to government information,anti-competitiv*
,breast cancer,Access* to* cropping* land*,access to mental health service,architectural design,barrier*,appliances,alcohol fuel*,agricultural water productivity,access to information technologies,anti-money laundering,archaeological heritage,chemical waste,anthropogene,alexandrium catenella,Aichi Biodiversity Target,access to information act,anti-dumping
,cancer*,Access* to* export* market*,access to mental health services,armed*-conflict*,barriers,aquifer,alcohol-fuelled,agriculture,access to information technology,antidiscrimination,architectural heritage,chemical* disposal*,anthropogenic,alexandrium minutum,Aichi Biodiversity Targets,access to information law,anti-dumpint
,cardiac*,Access* to* farm*,access to mental health treatment,armedconflict*,barriers to condom use,aquifer preservation,alcoholfuelled,agriculture credit,access to infrastructure,antidiscrimination law,architecture heritage,clean development,ar1,alexandrium peruvianum,aichi target,access to information laws,antidumping
,cardiovascul*,access* to* financ*,access to mental health treatments,asthma*,batter woman,aquifer protection,algae fuel*,agriculture productivity,access to infrastructures,antidiscrimination laws,architecture landscape,clean development mechanism,ar2,alexandrium species,Aichi Targets,access to information legislation,Antigua and Barbuda
,care facilit*,access* to* finance*,access to mental health-care,asynchronous* learning* system*,batter women,aquifer rehabilitation,algae pyrolysis,agritourism,access to internet,antidiscrimination legislation,art and archaeology,clean energy,ar3,alga culture*,Ailuropoda melanoleuca,access to justice,Argentina
,cattle,access* to* international* market*,access to mental healthcare,attendance,batter*,aquifer restoration,algae-based fuel*,agro tourism,access to mobile network,antidiscrimination policies,arterial roadways,clean plate movement,ar4,algae,Aipysurus fuscus,access to legal advice,Armenia
,cerebral palsy*,Access* to* key* asset*,access to primary care,attitude*,battered woman,aquifers,algal crude oil*,agrotourism,access to mobile networks,antidiscrimination policy,arterial streets,clean* production*,ar5,algal,Alasmidonta heterodon,access to public information,artificial regulation
,climate change,access* to* market*,access to primary health service,autism,battered women,aquifers preservation,algal oil*,aid and trade,access to network service,Antigua and Barbuda,artifact*,climate change,ar6,algal bloom*,Alasmidonta raveneliana,access to the court,aspergillus
,clinical trial*,Access* to* political* office*,access to primary health services,autist*,Batterer*,aquifers protection,alkaline fuel cell,Aid for trade,access to network services,antimoney laundering,artistic heritage,climate change communication,Arctic amplification,algal blooms,Alauda razae,access to the courts,assessment tool*
,community banking model,Access* to* rural* land*,access to primary health-care,awareness,batterer* program* ,aquifers rehabilitation,aluminium ion,aid versus trade,access to networked service,Argentina,artwork conservation,climate change education,arctic warming,algal* bloom*,Alcelaphus buselaphus swaynei,accountable government,assessment*
,community vulnerability assessment,accessibility to credit,access to primary healthcare,barrier to basic education,behav*,aquifers restoration,aluminium–air,air pollution,access to networked services,Armenia,Automobile,climate change levy,arterio venous,Alosa,Alethe choloensis,accountable governments,assist*
,credit,Accessing and using land,access to vaccines,barrier to education,bias,arsenic,ammonia,air quality,access to telecom,Aruba,bicycle commuting,climate change literacy,arteriovenous,altitude training,alien,accountable institution,assistance
,crises,active crop canopy sensor,accessibility to health service,barrier*,bias*,arsenic contamination,ammonia fiber expansion,alternative tourism,access to telecommunication,asylum applicant,bicycle infrastructure,climate literacy,artificial photosynthesis,Amazonian manatee,alien invasive,accountable institutions,augment*
,crisis,adapt to,accessibility to health services,Barrier-free education,birds,asbr,ammonia fiber explosion,ardl,access to the internet,asylum applicants,blood pressure,climate* change* aware*,artificial photosynthetic,Amberjack,alien plant,acquaintance rape,australia
,cycle of poverty,adapt to climate change,accessibility to health-care,Barrierfree education,birth control,ballast,Amorphous silicon,article 4 of the european convention on human rights,accessibility,asylum application,bohemian panel paintings,coal,autotrophic,Amoco Cadiz,alien plant species,act against discrimination,austria
,DC pension,adaptation and mitigation,accessibility to healthcare,barriers to basic education,board diversity,ballasts,Amorphous silicon PV,arts festival,acoustic emission,asylum applications,building,coal* subsid*,AVCO2R,an ecosystem approach,alien plants,act of corruption,auto-bidding
,defined contribution pension,adaptation to,accessibility to mental health service,barriers to education,burden of care,Bank filtration,antenna*,arts festivals,acoustic emissions,asylum law,building damage,coating*,awareness,anabas testudineus,alien species,active citizen,Azerbaijan
,defined-contribution pension,Adaptation to climate change,accessibility to mental health services,barriers to learning,business,Basic sanitation,anti-islanding,balanced growth path,additive fabrication,asylum laws,building damages,communicating climate change,Bali Action Plan,anadrom*,Alligator sinensis,active citizens,b&r initiative
,definedcontribution pension,adaptation to climate change,accessibility to mental health-care,behaviour*,business women,basin management,anticancer,bank credit,additive manufacture,asylum policies,building structure,COMMUNITY-BASED NATURAL RESOURCE MANAGEMENT,beccs technologies,anarhichas,Alouatta palliata,active citizenship,bacteria*
,dementia,adaptation to drought,accessibility to mental healthcare,belonging,callosal tissue,basin*,apartment electricit efficien*,better work programme,additive manufacturing,asylum policy,building structures,community-based tourism,beccs technology,Anarhichas lupus,Amazilia luciae,acts against discrimination,Bangladesh
,dental care,adaptation to water,accessing health service,better,cancer*,bay,apartment electricit saving*,bilateral trade,Advanced CNC,asylum politics,building*,COMMUNITYBASED NATURAL RESOURCE MANAGEMENT,bio energy with ccs,Anarhichas minor,Amazona arausiaca,acts of corruption,barrier
,dental*,added-value,accessing health services,bisexual,cardiac*,bio-toilet,apartment energy efficien*,biodiversity,advanced industrial application,asylum procedure,buildings,communitybased tourism,biochar,ancient* network*,Amazona brasiliensis,administrative corruption,barrier*
,dentist*,addedvalue,accessing health-care,breast* cancer*,cardiovascul*,bio-toilets,apartment energy saving*,black women,advanced industrial applications,asylum procedures,built environment,company* behav*,bioenergy with ccs,angelshark ,Amazona guildingii,adolescent abuse,barriers
,determinant of poverty,additional* source*,accessing healthcare,business,Cardiovascular Health,Biofilter*,apartment power saving*,business cycle,advanced industrial manufacturing,asylum process,built heritage,compost*,biomass carbon dioxide storage,Angola,Amazona imperialis,adolescent aggression,Base Erosion And Profit Shifting
,determinants of poverty,adolescent*,accessing mental health service,business* practitioner*,care facilit*,biotoilet,applianc*,capital accumulation,advanced industrial process,asylum seeker,built* environment*,composting,biomass carbon storage,Angola Palanca,Amazona leucocephala,aggression perpetration,Belarus
,developing countries,adult*,accessing mental health services,cancer,career*,biotoilets,appliance load monitor*,capital income,advanced industrial processes,asylum seekers,bus,composting of food waste,biomass CO 2 storage,Anguilla japonica,Amazona rhodocorytha,aggressive relationship,belgium
,developing* countr*,agrar*,accessing mental health treatment,cancer*,caste,blood,appliance monitor*,carbon emission,advanced industrial technologies,asylum seeking,bus rapid transit,conservation agriculture,biomass CO2 storage,anguilla*,Amazona versicolor,aggressive relationships,Belize
,development aid,Agrarian,accessing mental health treatments,cardiac*,castes,bodies of water,appliance scheduling,carbon emissions,advanced industrial technology,Azerbaijan,bus stations,conservation education,biomass storage,antarctic tourism,Amazona vinacea,Al-Qaeda,belt & road initiative
,Development* strateg*,agrarian,accessing mental health-care,cardiovascul*,cedaw,body of water,appliance*,carbon tax,advanced innovation,Bahamas,bus stops,conservation farming,blood,anthozoa*,Amazona vittata,alcohol abuse,belt and road initiative
,diabetic* patient*,agrarian economies,accessing mental healthcare,care facilit*,cell phone,bone,archimedes turbine*,carbon* dioxide*,advanced innovations,Bahrain,cancer,construction,Calcium looping,anthropogenic debris,Amblema neislerii,AlQaeda,benefi*
,diagnosis,agrarian economy,acquired immunodeficiency syndrome,career,cellular phone,bones,Archimedes Wave Swing,chain financing,advanced machining,Bangladesh,car,construction and demolition waste,cap & trade,anthropogenic radioactivity,Ambystoma bishopi,anti-bribery,Benin
,diarrhea*,agrarian movement,addiction counseling,career development,cerebral palsy*,bottled water,Archimedes Waveswing,child domestic labour,advanced manufacturing,bank*,car pool,construction material,cap and trade,anthropogenic radionuclides,Ambystoma californiense,anti-bullying,better strateg*
,disabilit*,Agrarian reform,addiction disorder,career-related skills,child sexual abuse,Brain,architecture,child domestic work,advanced process control,bank* cris*,car-free,construction sector,capture,anti*-dump*,Ambystoma macrodactylum croceum,anti-corruption,Bhutan
,disability* polic*,agrarian reform,addiction disorders,careerrelated skills,child*,cardiovascular,argon,child domestic workers,advanced prototyping,bank* failure*,carfree,construction waste,capture carbon dioxide,antidump*,Ambystoma tigrinum stebbinsi,anti-mafia,bilateral
,disabled people,Agrarian Reform and Rural Development,addiction intervention,cerebral palsy*,child* marriage*,ceramic,argon*,child employment,advanced technologies,bank* law*,carpool,consumer*,capture CO 2,Antigua and Barbuda,Ameiva polops,anti-terror,bilateral aid
,disadvantaged* famil*,Agrarian reform program,addiction interventions,child,child* sexual* abuse*,chemical contamination,Arsenic,child exploitation,advanced technology,bank* legislation*,carpooling,consumption,capture CO2,Aqua-culture,Ammodorcas clarkei,anti-terrorism,bilateral investment treat*
,disaster*,Agrarian women,addiction medecine,child*,childless* marriage*,chemotherapy,artificial photosynthesis,child forced labourers,affordable,bank* monitor*,cars,contaminated sludge,capture of carbon dioxide,aquacultur*,Ammodramus maritimus mirabilis,anti-terrorist,bio-energetics
,disasters*,agrarian* communit*,addiction prevention,child-friendly schools,children* sexual* abuse*,Chloramination,ASDEX Upgrade,child labor,affordable access,bank* regulat*,carsharing,cooperation for development,capture of CO 2,aquaculture,Ammodramus savannarum floridanus,anti-trafficking,bio-energies
,discrimination,agri*,addiction therapies,childfriendly schools,citizenship,chlorinated,Aswan,child labour,affordable communications,bank* risk*,cattle,corporate,capture of CO2,aquaculture*,amphibian conservation,antibribery,bio-energy
,disease*,agri*-environment*,addiction therapy,childhood,clinical trial*,Chlorination,asynchronous motor*,child labour supply,affordable infrastructure,bank* stability*,child health,corporate citizenship,captured,aquarium,amphibians conservation,antibullying,bioenergetics
,distribution*,agri*-environmental* measure*,addiction to alcohol,childhood care,communication science,cities,Atatürk Dam,child labourer,affordable infrastructures,bank* supervis*,children's health,corporate climate change,captured carbon dioxide,aquatic,Amytornis goyderi,anticorruption,bioenergies
,drought*,agri*-environmental* polic*,addiction treatment,children,communication* science*,city,automat meter*,child prostitutes,affordable internet,bankruptcy* law*,Cities,corporate environmental behavior,captured CO 2,aquatic ecosystem,Anaea troglodyta floridalis,antidiscrimination act,bioenergy
,earning*,agri*-environmental* program*,addiction treatments,children''s rights education,computer science,clean drinkable water,automation,child prostitution,affordable mobile device,bankruptcy* legislation*,cities,corporate environmental behaviour,captured CO2,aquatic environment,Anairetes alpinus,antidiscrimination acts,black economy
,earnings* inequ*,agri*-environmental* scheme*,addictions treatment,citizenship,computing science,clean drinking,automobile electrification,child rights,affordable mobile devices,bankruptcy* regulat*,citizen,corporate environmental management,capturing,aquatic life,Anas aucklandica nesiotis,antidiscrimination law,Bolivia
,earthquake*,agri-horticultural crops,addictions treatments,citizenship* educat*,condom use,clean drinking tap water,automobile*,child sex trafficking,affordable mobile phone,bankruptcy* risk*,city,corporate environmental strategies,capturing carbon dioxide,aquatic* organism*,Anas laysanensis,antidiscrimination laws,borrower*
,economic,agribusiness,addictive disorder,classroom environment,condom* availabilit*,clean drinking water,automobiles,child sex workers,affordable mobile phones,Barbados,city application,corporate environmental strategy,capturing CO 2,Arafura Sea,Anas wyvilliana,antidiscrimination legislation,Bosnia
,economic crisis,agricltur*,addictive disorders,classroom*,conflict*,clean potable tap water,automotive,child sexual exploitation,affordable smart-phone,barrier* to* international* trad*,city concept,corporate responsibility,capturing CO2,aragonite saturation,Anaxyrus californicus,antidiscrimination legislations,Botswana
,economic empowerment,agricult*,addictive drug,Climate* action*,contracept* educat*,clean potable water,automotive batteries,child slavery,affordable smart-phones,barrier* to* trad*,city development,corporate social performance,carbon,arbitration,animal,antidiscrimination policies,bound tariff*
,economic independence,agricultu*,addictive drugs,clinical trial*,contracepti*,clean water,automotive battery,child soldiering,affordable smartphone,Basel accord,city disaster,corporate social responsibility,carbon allowance,archaeol*,animal conservation,antidiscrimination policy,Brazil
,economic marginalisation,Agricultur*,addictive substance,cognitive* abilit*,contraception,Cleaning,automotive electrification,child traffficking,affordable smartphones,Basel committee,city logistics,corporate* social* report*,carbon allowances,arctic char*,animal trafficking,antidiscriminatory act,BRICS
,economic marginalization,agricultur*,addictive substances,college,Contraceptive use ,Coagulation,aviation,child trafficking,agile manufacturing,Basel I,city parks,corporate* sustainability*,carbon capture,arctic grayling,animal*,antidiscriminatory acts,bring
,economic status,agricultural,aerosol,college*,contraceptive* decision*,COD removal,Bakun Dam,child victims of human trafficking,agroindustrial,Basel II,city planning,corrosive waste,carbon certificate,Arctocephalus,animals,antidiscriminatory law,Bulgaria
,economic stress,Agricultural and environmental policies,aerosols,colleges,contraceptive* use*,coking waste water,ballast,child work,agroindustries,Basel III,city public space,crop,carbon certificates,Arctocephalus galapagoensis,Anodorhynchus glaucus,antidiscriminatory laws,Burkina Faso
,economic* disaster*,agricultural and food prices,affordability of medicine,communication* technolog*,convention on the elimination of all forms of discrimination against women,coking waste waters,ballast*,child worker,agroindustry,Basel* regulation*,city public spaces,CSR,carbon compression,Argentine Sea,Anodorhynchus leari,antidiscriminatory legislation,Burundi
,economic* inequalit*,Agricultural biodiversity,affordability of medicines,competenc*,criminal justice,coking wastewater,Bath County PSP,child workers,aided design,baseline* regulation*,city traffic,CSR agenda,carbon conversion,Argopecten irradians,Anolis roosevelti,antidiscriminatory legislations,business improvement district*
,economic* inequit*,agricultural biodiversity,affordable care act,competence-based,cultur*,coking wastewaters,batter*,child* soldier*,alternative investment,Belarus,city transit,csr report,carbon credit,argopecten*,Antechinomys laniger,antidiscriminatory policies,business tax*
,economic* resource*,agricultural change,affordable drugs,competencebased,dating violence,community-led sanitation,battery aircraft*,children and armed conflict,alternative investments,Belize,city* expansion*,csr reporting,carbon dioxide,artemia*,anti-desertification,antidiscriminatory policy,business taxation*
,economic* vot*,agricultural commodity price,affordable medicine,competency*-based* education*,decision,community-led total sanitation,battery airplane*,children associated with armed forces,angel investment,Benin,clima*,cultural heritage tourism,carbon dioxide allowance,artisanal* fish*,antidesertification,antimafia,Cambodia
,elderly poverty,agricultural commodity prices,affordable medicines,competency-based training,decision-making,communityled sanitation,battery automobile*,children at war,angel investments,Bermuda,climate,deep geological repository,carbon dioxide allowances,Aruba,Antilocapra americana peninsularis,antiterror,Cameroon
,electric* vehicle*,Agricultural development,Afghanistan,competencybased training,decisionmaking,communityled total sanitation,battery boat*,children exploitation,applications,Bhutan,climate change,deinked pulp,carbon dioxide capture,atherinid*,Antilocapra americana sonoriensis,antiterrorism,canada
,electricity,agricultural development,Africa,competencybased* education*,decline of women,Composting toilet,battery car,children in armed conflict,assembly,bilateral aid,climate change adaptation,deinking,carbon dioxide compression,atlantic,antipoaching,antiterrorist,capabilit*
,emergency savings,agricultural economies,African countries,comprehension reading,decline of women in technology disciplines,Composting toilets,battery cars,children in armed conflicts,assembly line,bilateral development,co2,delay* food* spoil*,carbon dioxide conversion,Atlantic Bonito,Aplodontia rufa nigra,antitrafficking,capacit*
,emissions* allowance* market*,agricultural economy,African country,computer-supported,Decriminali*,conservation,battery city bus*,children in war,assembly lines,bilateral donor,colonial art,demolition waste,carbon dioxide electro-reduction,Atlantic Empress,Aplonis pelzelni,armed conflict,capacity
,employment,agricultural efforts,African nation,computersupported,dementia,conservation*,battery drive car*,children soldiers,automated,bilateral donors,communication*,design for environment,carbon dioxide electroreduction,Atlantic salmon,Apodemia mormo langei,armed conflicts,capacity building
,energy poverty,agricultural emission*,African nations,construction of school,denigrate women,constructed wetland,battery drive train*,children''s labour,automated assembly line,bilateral investment,communities,design of landfill,carbon dioxide emission,Atlantic sturgeon,appendix i,armed violence,capacity utilization
,epidemiolog*,agricultural employment,African sleeping sickness,construction of schools,denigration of women,constructed wetlands,battery drivetrain*,children''s rights,automated assembly lines,bilateral investments,community,developing countries,carbon dioxide emission credit,atmospheric pollutant,appendix ii,arms smuggling,capacity-building
,equality,agricultural imperialism,aggressive driver,course* material*,dental*,contaminant,battery fleet*,climate,automated assembly system,bilateral migration,community garden,developing country,carbon dioxide emission credits,atmospheric pollutants,appendix iii,assailant,Cape Verde
,Equality* of* opportunit*,Agricultural intensification,aggressive drivers,Course-employment relationships,dentist*,contaminants,battery locomotive*,climate change,automated assembly systems,bilateral* trad*,community gardening,developing* countr*,carbon dioxide emissions,atoll,Ara ambiguus,assailants,capital
,equitable,agricultural labor,aggressive driving,Courseemployment relationships,detriment of,contaminated,battery motorcycl*,cluster policy,automated machining,Bolivia,community gardens,Development aid,carbon dioxide enhanced oil recovery,atolls,Ara glaucogularis,assault,capital flight
,equity,Agricultural land,AIDS,cultural skills,diarrhea*,contaminated drinking water,battery passenger bus*,co integration,Automated manufacturing System,Bosnia and Herzegovina,community housing,development assistance,carbon dioxide eor,atractoscion*,Ara militaris,assault victim,carbon dioxide emission*
,eradicate poverty,agricultural market information,aids awareness,cultural sustainability,differenc*,contaminated ground water,battery power train*,CO2,Automated manufacturing Systems,Botswana,commuter cycling,development capacity,carbon dioxide fixation,Australian sea lion,Aratinga guarouba,assault victims,carbon emission*
,ethnic*,agricultural modernisation,aids control,curricul*,differently,contaminated groundwater,battery powered aircraft*,coal workers,Automatic Process control,Brazil,commuting,development cooperation,carbon dioxide fixation solution,Australian snubfin dolphin,argentine ant,assault weapons ban,cardiovascular risk*
